Sample	Monocytes.C	NK	T.CD8.Memory	T.CD4.Naive	T.CD8.Naive	B.Naive	T.CD4.Memory	MAIT	T.gd.Vd2	Neutrophils.LD	T.gd.non.Vd2	Basophils.LD	Monocytes.NC.I	B.Memory	mDCs	pDCs	Plasmablasts	Unclassified
453W	19.4	6.78	22.931	9.165	5.328	2.75	16.167	2.047	0.984	1.22	0.727	0.95	2.26	2.373	0.38	0.57	0.066	5.902
684C	19.6	8.45	7.078	10.051	8.411	6.74	19.663	3.449	0.111	1.87	0.979	1.85	2.59	2.49	0.66	0.61	0.74	4.658
CR3L	14	10.8	3.597	10.871	11.532	8.38	15.972	5.075	2.88	5.98	0.635	2.04	1.96	2.23	0.76	0.55	0.54	2.19799999999999
FLWA	19.6	19.5	4.53	6.084	3.815	5.45	17.55	3.692	3.42	3.62	0.218	2.62	1.26	2.77	0.64	0.42	0.15	4.66099999999999
FY2H	26.8	2.6	12.008	8.098	5.279	6.02	11.085	2.188	0.636	2.2	10.916	1.2	5.87	0.907	0.99	0.37	0.11	2.723
CYFZ	11.1	14	24.473	5.531	3.346	5.69	11.831	1.11	0.894	1.2	1.715	1.36	5.69	2.5	0.38	0.28	0.18	8.72
925L	17	9.69	12.848	3.276	5.874	12.734	16.147	1.053	2.373	2.39	0.963	3.74	2.66	2.839	0.56	0.099	0.111	5.643
9JD4	14.6	7.53	12.723	11.561	10.873	4.7	18.472	3.362	1.8	0.6	2.206	1.97	2.38	3.33	0.48	0.48	0.27	2.663
G4YW	18.6	17.5	4.835	9.348	8.613	3.64	15.078	4.317	2.437	1.48	2.183	0.47	3.42	3.4	0.55	0.27	0.46	3.399
4DUY	17.3	7.92	5.461	11.972	6.931	5.19	12.251	2.463	5.986	5.4	0.373	2.09	4.95	2.178	0.56	0.14	0.61	8.22499999999999
CZJE	19.6	15.8	4.708	6.133	9.983	6.96	13.037	5.161	2.331	2.14	0.317	1.44	3.19	5.73	1.08	0.5	0.2	1.69
36TS	24.7	7.72	14.618	5.738	2.423	4.15	13.412	1.48	1.881	2.57	1.913	2.75	6.83	2.59	0.57	0.51	0.18	5.96499999999999
